Copyright Central Council of Church Bell Ringers, December 2011
Treble Place Minor methods
(treble's path 1 1    2 2    3  4 3  4 5  6 5  6 6)

No.	Name	Notation	hl	le	lh	RW ref

16627	Blaxhall	1234-1234.16-12-16-12-	16	16	m	06/694

Treble Place Minor methods
           (treble's path 1 2  1  2  3  3    4  4    5    6  5  6  6)

No.	Name	Notation	hl	le	lh	Tower bells	Place	RW ref
16705	Blidworth	-34-16-56-36-3456-	56	12	136245			02/1073
16706	Pentland Firth	-34-16-56-36.12.3456.12.	56	12	136245			02/1169
16707	Hanter-cans Bledhen	-36-14-12-1236-1236-	56	12	e			02/222 232
16708	Centenary	-36-14-12-1236-1236-	56	16	h			10/1205
16709	Pattiswick	-36-14-12-1236-1256-	56	12	165324			01/566
16710	Santa	-36-14-12-1236-1456-	56	16	134625			10/89
16711	Wink	-36-14-12-1236-3456-	56	12	165324			02/435
16712	Yellowbelly	-36-14-12-16-1236-	56	12	142563	2011-10-01	Bardney	11/1241
16713	Aberfeldy	-36-14-12-16-1256-	56	16	134625			10/90
16714	Aberlour	-36-14-12-16-1456-	56	12	165324			10/90
16715	Abhainn Dearg	-36-14-12-16-3456-	56	16	134625			10/90
16716	Napton on the Hill	-36-14-12-16.12.1456.34.	56	12	b	2010-07-18	Napton on the Hill	10/788
16717	North Waltham	-36-14-12-36-1236-	56	12	e			82/396
16718	Ashe	-36-14-12-36-1236-	56	16	h			82/396
16719	Beighton	-36-14-12-36-1256-	56	12	165324			01/566
16720	Cambridge	-36-14-12-36-1456-	56	12	b	2002-10-25	Cambridge, St Edward	82/428 02/1183
16721	Ebor	-36-14-12-36-1456-	56	14	135642			04/495
16722	Primrose	-36-14-12-36-1456-	56	16	g			82/741
16723	Twywell	-36-14-12-36-1456.1234.	56	12	b	2011-09-03	Twywell	11/966
16724	Cherry Hinton	-36-14-12-36-3456-	56	12	165324			02/435
16725	Maxey	-36-14-12-36.12.3456.14.	56	12	b	2009-03-14	Maxey	09/331
16726	Arthingworth	-36-14-12-36.14.1256.34.	56	12	b	2004-02-06	Arthingworth	04/204
16727	Focus	-36-14-56-1236-1236-	56	12	e			03/644
16728	Jeremy	-36-14-56-1236-1236-	56	16	h			03/644
16729	Wrenburys' Golden Years	-36-14-56-36-1456-	56	12	f			11/1118
16730	Audley End	-36-14.12-12.1236-1456-	56	12	b			04/495
16731	Littlebury	-36-14.12-12.1236-1456-	56	14	135642			04/495
16732	Illston-on-the-Hill	-36-14.12-12.16-1256-	56	12	b			09/878
16733	Noseley	-36-14.12-12.16-1256-	56	16	g			09/878
16734	Cockrell	-36-14.12-12.16-1256.1234.	56	12	b	2002-02-04	West Deeping	02/189
16735	Cosgrove	-36-14.12-12.16-3456-	56	12	b	2001-06-22	Cosgrove	01/709
16736	Furtho	-36-14.12-12.16-3456-	56	16	g			09/878
16737	Smartie	-36-1456-12-1236-1256-	56	14	146325			10/89
16738	Paula	-36-1456-12-1236-1456-	56	12	f			03/549
16739	Tre Cime Di Lavaredo	-36-1456-12-1236-1456-	56	16	l			03/549
16740	Natalie	-36-1456-12-1236-3456-	56	14	146325			10/89
16741	Ailsa Bay	-36-1456-12-16-1256-	56	12	f			10/90
16742	Allt a Bhainne	-36-1456-12-16-1456-	56	14	146325			10/90
16743	Ardbeg	-36-1456-12-16-3456-	56	12	f			10/90
16744	Mork	-36-1456-12-36-1256-	56	14	146325			10/89
16745	Mindy	-36-1456-12-36-1456-	56	12	136245			10/89
16746	Nigel	-36-1456-12-36-3456-	56	14	146325			10/89
16747	High Halden	-36-1456-56-1236-1456-	56	12	b			03/644
16748	Triffid	-36-1456-56-1236-1456-	56	16	g			03/644
16749	Tressa Mylvledhen	-36-1456-56-16-1256-	56	12	b			00/328
16750	Beer	-36-1456-56-16-1256.1234.	56	12	b			02/627
16751	Nessa Mylvledhen	-36-1456-56-16-3456-	56	12	b			00/328
16752	Mylvledhen Noweth	-36-1456-56-16.34.1256.34.	56	12	b			00/630 949
16753	Stisted	-36-16-12-1236-1256-	56	12	e			10/1205
16754	Danbury	-36-16-12-1236-1256-	56	16	h			10/1205
16755	Pebmarsh	-36-16-12-1236-3456-	56	12	e			10/1205
16756	Hatherop	-36-16-12-1236-3456-	56	16	h			03/422
16757	British Scholars Pleasure	-36-16-12-16-1456-	56	12	e			97/743 809
16758	Woodcock's Victory	-36-16-12-16-1456-	56	16	h			97/743 809
16759	Wilmslow	-36-16-12-36-1256-	56	12	e			82/664
16760	Balmoral	-36-16-12-36-1256-	56	16	h			97/617 623
16761	Woodnesborough	-36-16-12-36-3456-	56	12	e			95/70
16762	Fotheringay	-36-16-12-36-3456-	56	16	h			97/595 623
16763	Barton Stacey	-36-16-12-36.12.3456.12.	56	12	e			82/425
16764	Tiddles the Cat	-36-16-12-36.12.3456.12.	56	16	h			97/880 887
16765	Princess Anne	-36-16-56-36-1456-	56	12	b			99/898 00/202
16766	Malaya	-36-16-56-36-1456-	56	16	g			03/644
16767	Xanadu	-36.3456.16-56-16.14.1256.34.	56	12	f	2002-10-11	Cold Higham	02/1114
16768	Preston	-36.3456.16-56-16.14.3456.34.	56	12	f	2002-08-24	Preston (Rutland)	02/947
16769	East Haddon	-36.3456.16-56-36.12.3456.12.	56	12	f	2002-11-02	East Haddon	02/1185
16770	Lhotse	-56-14-12-1236-1236-	56	16	134625			01/860
16771	Matt Jack	-56-14-12-1236-1256-	56	12	142563			10/89
16772	NFFC	-56-14-12-1236-1456-	56	12	a			10/89
16773	Shergar	-56-14-12-1236-3456-	56	12	142563			10/89
16774	Kangchenjunga	-56-14-12-36-1236-	56	16	134625			01/860
16775	Collingham	-56-14-12-36-1256-	56	12	142563			03/159
16776	Dixie	-56-14-12-36-1456-	56	14	145362			10/89
16777	Honey	-56-14-12-36-3456-	56	12	142563			10/89
16778	Dhaulagiri	-56-14-56-1236-1236-	56	16	134625			01/860
16779	Warspite	-56-14-56-16-1456-	56	12	f			03/644
16780	Cinquecento	-56-14-56-16-1456-	56	16	l			03/644
16781	Quinton	-56-14-56-16.14.3456.12.	56	12	f	2003-01-10	Isham	03/103
16782	Yardley Hastings	-56-14-56-16.14.3456.34.	56	12	f	2003-05-09	Yardley Hastings	03/518
16783	Makalu	-56-14-56-36-1236-	56	16	134625			01/860
16784	College Bob III	-56-14-56-36-1256-	56	12	f			03/159
16785	Torworth	-56-14-56-36-1256-	56	16	l			01/1002
16786	Studley	-56-14-56-36-3456-	56	12	f			01/40 279
16787	Cossall	-56-14-56-36-3456-	56	16	l			01/1171 02/1193
16788	Duck End	-56-14-56-36.34.1456.14.	56	12	f	2003-03-07	Cranford St John	03/297
16789	Elton	-56-14.56-12.36-1256-	56	16	l			01/1001
16790	60th Birthday	-56-1456-12-1236-1236-	56	16	134625			02/60
16791	Kilvington	-56-1456-12-1236-1256-	56	12	f			00/1220
16792	Nanu	-56-1456-12-1236-1456-	56	12	136245			10/89
16793	Moey	-56-1456-12-1236-3456-	56	12	f			10/89
16794	Brixworth	-56-1456-12-1236.34.1456.14.	56	12	f	2002-12-14	Brixworth	03/34
16795	Ben Nevis	-56-1456-12-16-1256-	56	12	136245			10/91
16796	Ben Wyvis	-56-1456-12-16-1456-	56	12	f			10/91
16797	BenRiach	-56-1456-12-16-3456-	56	12	136245			10/91
16798	Brampton Ash	-56-1456-12-16.14.1256.34.	56	12	f	2002-05-10	Brampton Ash	02/549
16799	Ecton	-56-1456-12-16.14.3456.12.	56	12	f	2002-01-25	Ecton	02/190
16800	Greens Norton	-56-1456-12-16.14.3456.34.	56	12	f	2002-04-12	Greens Norton	02/437
16801	Old Nick	-56-1456-12-36-1236-	56	16	134625			02/60
16802	Selston	-56-1456-12-36-1256-	56	12	f			03/184
16803	Cottam	-56-1456-12-36-1256-	56	16	l			01/1001
16804	Pepsi	-56-1456-12-36-1456-	56	14	146325			10/89
16805	Tyson	-56-1456-12-36-3456-	56	12	f			10/89
16806	Warlergh Melyndruckya	-56-1456-56-16-1236-	56	16	m			03/17
16807	Gasherbrum III	-56-1456-56-36-1236-	56	16	134625			03/1005
16808	Keyworth	-56-1456-56-36-1256-	56	12	142563			01/566
16809	Plumtree	-56-1456-56-36-3456-	56	12	142563			03/329
16810	Dee	-56-1456-56-36.12.3456.12.	56	12	142563			03/184
16811	Cho Oyu	-56-16-12-1236-1236-	56	12	f			03/549
16812	Shishapangma	-56-16-12-1236-1236-	56	16	l			03/549
16813	Glen Albyn	-56-16-12-1236-1256-	56	16	134625			10/91
16814	Dailuaine	-56-16-12-1236-1456-	56	12	b			10/91
16815	Glen Elgin	-56-16-12-1236-3456-	56	16	134625			10/91
16816	Dallas Dhu	-56-16-12-16-1256-	56	12	b			10/91
16817	Dalmore	-56-16-12-16-1456-	56	16	134625			10/91
16818	Dalwhinnie	-56-16-12-16-3456-	56	12	b			10/91
16819	Stockwith	-56-16-12-36-1256-	56	16	134625			01/835 894
16820	Dufftown	-56-16-12-36-1456-	56	12	165324			10/91
16821	Edradour	-56-16-12-36-3456-	56	16	134625			10/91
16822	Matterhorn	-56-16-56-36-1236-	56	16	l			03/1005
16823	Warmfield	-56-16-56-36-1256-	56	12	142563			03/329
16824	Glen Flagler	34-34.16-12-1236-1256-	56	16	134625			10/91
16825	Old Fettercairn	34-34.16-12-1236-1456-	56	12	165324			10/91
16826	Glen Garioch	34-34.16-12-1236-3456-	56	16	134625			10/91
16827	Wootton St Lawrence	34-34.16-12-16-1236-	56	12	e			82/396
16828	Hilsea	34-34.16-12-16-1236-	56	16	h			82/363
16829	Benrinnes	34-34.16-12-16-1256-	56	12	165324			10/91
16830	Benromach	34-34.16-12-16-1456-	56	16	134625			10/91
16831	Meynell Langley	34-34.16-12-16-3456-	56	12	165324			07/150
16832	Boston	34-34.16-12-36-1256-	56	16	134625			03/184
16833	Barham	34-34.16-12-36-1456-	56	12	b			97/546 623
16834	Oswald	34-34.16-12-36-1456-	56	16	g			82/884
16835	Daftmill	34-34.16-12-36-3456-	56	16	134625			10/91
16836	Harpole	34-34.16-56-1236-1256-	56	12	f	2002-08-02	Harpole	02/871
16837	Kelmarsh	34-34.16-56-1236-3456-	56	12	f	2002-07-26	Kelmarsh	02/846
16838	Shelford	34-34.16-56-1236-3456-	56	16	l			11/365
16839	Jubilee	34-34.16-56-16.14.3456.12.	56	12	f	2002-06-03	East Carlton	02/651
16840	Valetto	34-34.16-56-36-1256-	56	12	f	2002-12-13	Potterspury	03/34
16841	Bole	34-34.16-56-36-1256-	56	16	l			03/764
16842	Weekley	34-34.16-56-36-3456-	56	12	f	2002-09-27	Weekley	02/1066
16843	Leicester City	34-34.16-56-36.12.3456.12.	56	12	f	2002-10-25	Great Cransley	02/1162
16844	Kessingland	34-34.16-56-36.12.3456.34.	56	12	f	2002-07-13	Kessingland	02/794
16845	Yonkers	34-36.14-12-1236-1236-	56	12	f			05/190
16846	Quadragesima	34-36.14-12-1236-1236-	56	16	l			05/390
16847	Pebbles	34-36.14-12-1236-1256-	56	12	142563			10/89
16848	Basil	34-36.14-12-1236-1456-	56	14	145362			10/89
16849	Tilly	34-36.14-12-1236-3456-	56	12	142563			10/89
16850	Ardmore	34-36.14-12-16-1256-	56	14	145362			10/90
16851	Isle of Arran	34-36.14-12-16-1456-	56	12	142563			10/90
16852	Auchentoshan	34-36.14-12-16-3456-	56	14	145362			10/90
16853	Willesborough	34-36.14-12-36-1236-	56	12	f			07/319
16854	Conningbrook	34-36.14-12-36-1236-	56	16	l			10/1205
16855	Pride of High Halden	34-36.14-12-36-1256-	56	12	142563			09/805
16856	Carlisle	34-36.14-12-36-1456-	56	12	a			96/146
16857	Bella	34-36.14-12-36-3456-	56	12	142563			10/89
16858	Uranus	34-36.14-56-36-1236-	56	12	f			05/630
16859	Neptune	34-36.14-56-36-1236-	56	16	l			05/630
16860	Zelah	34-36.16-12-16.14.3456.12.	56	12	f	2002-08-09	Cosgrove	02/893
16861	Eadburgebyrig	34-56.14-12-1236-1256-	56	12	a			05/390
16862	Poppy	34-56.14-12-1236-1456-	56	12	142563			10/89
16863	William Dawson	34-56.14-12-16-1236-	56	16	134625			05/390
16864	Brora	34-56.14-12-16-1256-	56	12	142563			10/91
16865	Auchroisk	34-56.14-12-16-1456-	56	12	a			10/90
16866	Bruichladdich	34-56.14-12-16-3456-	56	12	142563			10/91
16867	Aultmore	34-56.14-12-36-1456-	56	14	145362			10/90
16868	Joachim	34-56.14-56-36-1456-	56	12	f			05/1022
16869	Gretta	34-56.14-56-36-1456-	56	16	l			05/1022
16870	Foxton	34-56.1456-12-1236.14.3456.12.	56	12	f	2003-11-29	Foxton (Leics)	03/1220
16871	Tollesbury	36-34.16-12-1236-1256-	56	12	b			04/692
16872	Bunnahabhain	36-34.16-12-1236-1456-	56	16	134625			10/91
16873	Caol Ila	36-34.16-12-1236-3456-	56	12	b			10/91
16874	Deane	36-34.16-12-16-1236-	56	12	f	1983-01-01	Deane (Hants)	82/363 83/125
16875	Caperdonich	36-34.16-12-16-1256-	56	16	134625			10/91
16876	Cardhu	36-34.16-12-16-1456-	56	12	b			10/91
16877	Clynelish	36-34.16-12-16-3456-	56	16	134625			10/91
16878	Coleburn	36-34.16-12-36-1256-	56	12	b			10/91
16879	Convalmore	36-34.16-12-36-1456-	56	12	165324			10/91
16880	Cragganmore	36-34.16-12-36-3456-	56	12	b			10/91
16881	Bransbury	36-34.16-12-36.12.3456.12.	56	12	b			10/1205
16882	ULM	36-34.16-56-1236-1456-	56	12	a			05/1045
16883	Offley	36-36.14-12-1236-1456-	56	12	e			08/33
16884	Bladnoch	36-36.14-12-16-1256-	56	12	e			10/91
16885	Blair Athol	36-36.14-12-16-3456-	56	12	e			10/91
16886	Merry Paws	36-36.14-12-16.34.1256.34.	56	12	e			91/591
16887	Benwell	36-36.14-12-36-1256-	56	12	154632			10/816
16888	Highbury	36-36.14-56-1236-3456-	56	12	b			05/1117
16889	Xiuhtecutli	36-56.14-12-1236-1236-	56	12	136245			05/535
16890	Zanzibar	56-34.16-12-16-1256-	56	12	154632			05/190 456
16891	St Benet's	56-36.14-12-36-1456-	56	12	f			05/190
16892	Pangbourne	56-56.14-12-1236-1256-	56	12	f			05/190
16893	Hobson	56-56.14-12-1236-1256-	56	16	l			01/1001
16894	Mustard	56-56.14-12-1236-3456-	56	12	f			10/89
16895	Balblair	56-56.14-12-16-1256-	56	12	136245			10/90
16896	Ballechin	56-56.14-12-16-1456-	56	12	f			10/90
16897	Balmenach	56-56.14-12-16-3456-	56	12	136245			10/90
16898	Toffee	56-56.14-12-36-1256-	56	12	f			10/89
16899	Ebchester	56-56.14-12-36-1256-	56	16	l			01/1001
16900	The Balvenie	56-56.14-12-36-1456-	56	14	146325			10/90
16901	Craigellachie	56-56.14-12-36-3456-	56	12	f			10/89 223

Treble Place Minor methods
                (treble's path 1 2  1  2  3    4 5    6  6    5  4    3 3)

No.	Name	Notation	hl	le	lh	Tower bells	Place	RW ref

16902	James	-34-14-1236-1236-1236-	34	12	136245			02/368
16903	Valiant	-34-14-1236-1236-1236-	36	12	a			01/278
16904	Arreton	-34-14-1236-1256-1236-	34	12	a			06/1056
16905	St Matthew in the City	-34-14-1236-1456-1236-	34	12	e			03/305
16906	Auckland	-34-14-1236-1456-1236-	34	16	h			03/305
16907	North Island	-34-14-1236-1456-1236-	36	12	165324			03/305
16908	Zzz	-34-14-1236-3456-1236-	36	12	a			00/603 627
16909	Lockerley	-34-14-16-1236-16-	34	12	e			84/149
16910	Aurigny	-34-14-16-1236-16-	34	16	h			84/389
16911	Woodfine	-34-14-16-1236-16-	36	12	142563			11/212
16912	Brighstone	-34-14-16-1256-36-	36	16	m			84/584
16913	Buriton	-34-14-16-1456-16-	34	12	e			85/156
16914	Bramshott	-34-14-16-1456-16-	34	16	h			85/156
16915	Alderney	-34-14-16-1456-36-	36	12	b			84/893
16916	Newton Stacey	-34-14-16-1456-36-	36	16	g			85/220
16917	Patersons Farewell	-34-14-16-3456-36-	34	16	m			85/628
16918	Jersey	-34-14-36-1236-16-	34	12	b			86/590
16919	St Anne	-34-14-36-1236-16-	34	16	g			86/590
16920	Queen's Birthday	-34-14-36-1236-36-	34	12	136245			02/627
16921	Swanmore	-34-14-36-1236-36-	36	12	a			84/13
16922	Vale	-34-14-36-1256-16-	36	12	e			86/590
16923	Forest	-34-14-36-1256-16-	36	16	h			86/590
16924	Jane and Pauls Wedding Day	-34-14-36-1256-36-	34	12	a			84/474
16925	Eversley	-34-14-36-1456-16-	34	12	b			88/328
16926	Kingsley	-34-14-36-1456-16-	34	16	g			88/328
16927	Niton	-34-14-36-3456-16-	34	16	m			88/415
16928	Shorwell	-34-14-36-3456-36-	36	12	a			90/468
16929	Hampshire	-34-14-36.12.3456.12.36-	36	12	a			91/64
16930	Rosa	-34-1456-1236-1236-1236-	34	12	a			02/672
16931	Lexington	-34-1456-1236-1236-1236-	36	12	136245			01/277
16932	Manaslu	-34-1456-1236-1256-1236-	34	12	136245			02/1169
16933	Yorktown	-34-1456-1236-3456-1236-	36	12	136245			01/277
16934	Chogolisa	-34-1456-16-1236-16-	34	16	165243			03/1053 1167
16935	Mother Teresa	-34-1456-16-1256-16-	34	12	e			03/1123 04/952
16936	Calcutta	-34-1456-16-1256-16-	34	16	h			03/1123
16937	Golden Jubilee	-34-1456-36-1236-36-	34	12	a			02/671
16938	Xiphias	-34-1456-36-1236-36-	36	12	136245			01/327
16939	Nanga Parvat	-34-1456-36-1256-36-	34	12	136245			02/1169
16940	Nanda Devi	-34-1456-36-1456-36-	36	16	152364			03/859
16941	Xavier	-34-16-1236-1236-1236-	36	12	136245			00/603 627
16942	Fettes	-34-16-1236-1456-1236-	36	12	b	2006-04-22	Edinburgh, Fettes College	06/450
16943	Benedict XVI	-34-16-1236-3456-1236-	34	12	a			05/535
16944	Regina	-34-16-1236-3456-1236-	36	12	136245			01/566
16945	OUS	-34-16-16-1236-36-	36	12	f			98/123 216
16946	Puckoon	-34-16-16-1236-36-	36	16	l			85/76
16947	Abbots Ann	-34-16-16-1256-36-	34	12	f			90/220
16948	Monxton	-34-16-16-1256-36-	34	16	l			90/514
16949	Warbleton	-34-16-16-1456-16-	36	12	b			98/38 274
16950	Westham	-34-16-16-1456-16-	36	16	g			98/38 274
16951	Beehive	-34-16-16-1456-36-	34	16	m	2000-01-09	Swanage, Beehive Campanile	00/91
16952	Peasmarsh	-34-16-16-3456-36-	36	12	f			98/38 274
16953	Ticehurst	-34-16-16-3456-36-	36	16	l			98/38 274
16954	Littlebourne	-34-16-36-1236-16-	36	12	f			94/1172
16955	Eleventh Night	-34-16-36-1236-16-	36	16	l			98/266 274
16956	Epiphany	-34-16-36-1236-36-	36	12	136245			03/159
16957	Iden	-34-16-36-1256-16-	34	12	b			97/1159 1173
16958	Northiam	-34-16-36-1256-16-	34	16	g			97/1159 1173
16959	Sol	-34-16-36-1256-36-	36	12	a			99/107 319
16960	Charing	-34-16-36-1456-16-	36	16	m			99/107 320
16961	East Hoathly	-34-16-36-3456-16-	36	12	f			97/1159 1173
16962	1066	-34-16-36-3456-16-	36	16	l			97/1159 1173
16963	Geraldine	-34-16-36-3456-36-	34	12	a			97/880 887
16964	Zoe	-34-16-36-3456-36-	36	12	136245			03/159
16965	Philip	-34-16-36.12.3456.12.36-	34	12	a			97/880 887
16966	Eastern Shore	-36-14-1236-3456-1236-	34	12	e			99/898 00/202
16967	Willingdon	-36-14-16-1236-16-	36	12	f			98/40 274
16968	Unattached Members	-36-14-16-1236-16-	36	16	l			98/40 274
16969	Canterbury	-36-14-16-1236-36-	34	12	b			89/294
16970	Durovernum	-36-14-16-1236-36-	34	16	g			89/588
16971	Immaculate Conception	-36-14-16-1256-16-	36	16	m			98/123 216
16972	Towcester	-36-14-16-1456-36-	36	12	a			85/449
16973	Chiddingly	-36-14-16-3456-16-	36	12	f			97/1159 1173
16974	Dallington	-36-14-16-3456-16-	36	16	l			97/1159 1173
16975	Gaudete	-36-14-16.34.1256.34.16-	36	16	m			98/123 217
16976	Emil	-36-14-36-1236-16-	34	12	a			99/151 447
16977	Magdalen	-36-14-36-1256-36-	36	12	e			98/123 216
16978	Metton	-36-14-36-1256-36-	36	16	h			94/685
16979	Hatford	-36-14-36-1456-16-	34	12	a			98/85
16980	Sepulchre	-36-14-36-1456-36-	36	16	m			73/279
16981	Colegate	-36-14-36-3456-36-	34	12	e			85/766
16982	Essex Girl	-36-14-36-3456-36-	34	16	h			98/123 216
16983	Man of Kent	-36-14-36.12.3456.12.36-	34	12	e			98/123 216
16984	Berkshire Boy	-36-14-36.12.3456.12.36-	34	16	h			98/123 216
16985	St Michael	-36-1456-1236-1236-1236-	36	12	165324			04/114
16986	Low Sunday	-36-1456-1236-1256-1236-	36	12	e			03/549
16987	Regina Caeli	-36-1456-1236-1256-1236-	36	16	h			03/549
16988	Tom	-36-1456-1236-3456-1236-	36	12	165324			04/114
16989	Fiona	-36-1456-16-1256-36-	34	12	b			03/644
16990	Trivor	-36-1456-16-1256-36-	34	16	g			03/644
16991	Chris	-36-1456-16-3456-36-	36	12	b			06/910
16992	All Angels	-36-1456-36-1236-36-	36	12	165324			04/114
16993	Jacky	-36-1456-36-3456-36-	36	12	165324			04/114
16994	Barlow	-36-1456-36.12.3456.12.36-	36	12	165324			04/114
16995	Adderbury	-36-16-16-1236-16-	36	12	b			89/751
16996	New Year's Eve	-36-16-16-1236-16-	36	16	g			98/123 217
16997	Bernadette	-36-16-16-1256-16-	34	12	f			97/1106 1159
